source,date,headline
NIFTY,2010-01-07,
NIFTY,2010-01-26,
NIFTY,2010-02-02,
NIFTY,2010-03-18,
NIFTY,2010-03-18,
NIFTY,2010-03-18,
NIFTY,2010-03-18,
NIFTY,2010-03-18,
NIFTY,2010-03-18,
NIFTY,2010-03-25,
NIFTY,2010-03-25,
NIFTY,2010-03-25,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-03-29,
NIFTY,2010-04-06,
NIFTY,2010-04-06,
NIFTY,2010-04-06,
NIFTY,2010-04-12,
NIFTY,2010-04-12,
NIFTY,2010-04-12,
NIFTY,2010-04-20,
NIFTY,2010-04-20,
NIFTY,2010-04-20,
NIFTY,2010-04-26,16
NIFTY,2010-04-26,
NIFTY,2010-04-26,
NIFTY,2010-04-26,
NIFTY,2010-05-04,
NIFTY,2010-05-04,
NIFTY,2010-05-04,
NIFTY,2010-05-17,
NIFTY,2010-05-17,
NIFTY,2010-05-17,
NIFTY,2010-06-28,
NIFTY,2010-06-28,
NIFTY,2010-06-28,
NIFTY,2010-07-12,
NIFTY,2010-07-12,
NIFTY,2010-07-12,
NIFTY,2010-07-12,
NIFTY,2010-07-12,
NIFTY,2010-07-12,
NIFTY,2010-07-19,
NIFTY,2010-07-19,
NIFTY,2010-07-19,
NIFTY,2010-07-26,
NIFTY,2010-07-26,
NIFTY,2010-07-26,
NIFTY,2010-08-03,
NIFTY,2010-08-03,
NIFTY,2010-08-03,
NIFTY,2010-08-04,
NIFTY,2010-08-04,
NIFTY,2010-08-04,
NIFTY,2010-08-05,
NIFTY,2010-08-05,
NIFTY,2010-08-05,
NIFTY,2010-08-18,
NIFTY,2010-08-18,
NIFTY,2010-08-18,
NIFTY,2010-08-26,
NIFTY,2010-08-26,
NIFTY,2010-08-26,
NIFTY,2010-09-15,
NIFTY,2010-09-15,
NIFTY,2010-09-15,
NIFTY,2010-09-22,
NIFTY,2010-09-22,
NIFTY,2010-09-22,
NIFTY,2010-09-30,
NIFTY,2010-09-30,
NIFTY,2010-09-30,
NIFTY,2010-10-05,
NIFTY,2010-10-05,
NIFTY,2010-10-05,
NIFTY,2010-10-06,
NIFTY,2010-10-06,
NIFTY,2010-10-06,
NIFTY,2010-10-14,
NIFTY,2010-10-14,
NIFTY,2010-10-14,
NIFTY,2010-10-25,
NIFTY,2010-10-25,
NIFTY,2010-10-25,
NIFTY,2010-11-15,
NIFTY,2010-11-15,
NIFTY,2010-11-15,
NIFTY,2010-12-02,
NIFTY,2010-12-02,
NIFTY,2010-12-02,
NIFTY,2010-12-02,
NIFTY,2010-12-02,
NIFTY,2010-12-02,
NIFTY,2010-12-08,
NIFTY,2010-12-08,
NIFTY,2010-12-08,
NIFTY,2010-12-22,
NIFTY,2010-12-22,
NIFTY,2010-12-22,
NIFTY,2010-12-28,
NIFTY,2010-12-28,
NIFTY,2010-12-28,
NIFTY,2011-01-05,
NIFTY,2011-01-05,
NIFTY,2011-01-05,
NIFTY,2011-01-06,
NIFTY,2011-01-06,
NIFTY,2011-01-06,
NIFTY,2011-01-19,
NIFTY,2011-01-19,
NIFTY,2011-01-19,
NIFTY,2011-01-19,
NIFTY,2011-01-19,
NIFTY,2011-01-19,
NIFTY,2011-01-25,
NIFTY,2011-01-25,
NIFTY,2011-01-25,
NIFTY,2011-01-25,
NIFTY,2011-01-25,
NIFTY,2011-01-25,
NIFTY,2011-02-02,
NIFTY,2011-02-02,
NIFTY,2011-02-02,
NIFTY,2011-02-03,
NIFTY,2011-02-03,
NIFTY,2011-02-03,
NIFTY,2011-03-07,
NIFTY,2011-03-07,
NIFTY,2011-03-07,
NIFTY,2011-03-10,
NIFTY,2011-03-10,
NIFTY,2011-03-10,
NIFTY,2011-03-17,
NIFTY,2011-03-17,
NIFTY,2011-03-17,
NIFTY,2011-03-23,
NIFTY,2011-03-23,
NIFTY,2011-03-23,
NIFTY,2011-03-24,
NIFTY,2011-03-24,
NIFTY,2011-03-24,
NIFTY,2011-03-28,
NIFTY,2011-03-28,
NIFTY,2011-03-28,
NIFTY,2011-03-31,
NIFTY,2011-03-31,
NIFTY,2011-03-31,
NIFTY,2011-04-07,
NIFTY,2011-04-07,
NIFTY,2011-04-07,
NIFTY,2011-04-25,
NIFTY,2011-04-25,
NIFTY,2011-04-25,
NIFTY,2011-04-27,
NIFTY,2011-04-27,
NIFTY,2011-04-27,
NIFTY,2011-04-27,
NIFTY,2011-04-27,
NIFTY,2011-04-27,
NIFTY,2011-05-05,
NIFTY,2011-05-05,
NIFTY,2011-05-05,
NIFTY,2011-05-11,
NIFTY,2011-05-11,
NIFTY,2011-05-11,
NIFTY,2011-05-18,
NIFTY,2011-05-18,
NIFTY,2011-05-18,
NIFTY,2011-05-23,
NIFTY,2011-05-23,
NIFTY,2011-05-23,
NIFTY,2011-06-02,
NIFTY,2011-06-02,
NIFTY,2011-06-02,
NIFTY,2011-06-09,
NIFTY,2011-06-09,
NIFTY,2011-06-09,
NIFTY,2011-06-29,
NIFTY,2011-06-29,
NIFTY,2011-06-29,
NIFTY,2011-07-06,
NIFTY,2011-07-06,
NIFTY,2011-07-06,
NIFTY,2011-07-11,
NIFTY,2011-07-11,
NIFTY,2011-07-11,
NIFTY,2011-07-13,
NIFTY,2011-07-13,
NIFTY,2011-07-13,
NIFTY,2011-07-14,
NIFTY,2011-07-14,
NIFTY,2011-07-14,
NIFTY,2011-07-19,
NIFTY,2011-07-19,
NIFTY,2011-07-19,
NIFTY,2011-07-21,
NIFTY,2011-07-21,
NIFTY,2011-07-21,
NIFTY,2011-08-03,
NIFTY,2011-08-03,
NIFTY,2011-08-03,
NIFTY,2011-08-03,
NIFTY,2011-08-03,
NIFTY,2011-08-03,
NIFTY,2011-08-08,
NIFTY,2011-08-08,
NIFTY,2011-08-08,
NIFTY,2011-08-31,
NIFTY,2011-08-31,
NIFTY,2011-08-31,
NIFTY,2011-10-06,
NIFTY,2011-10-06,
NIFTY,2011-10-06,
NIFTY,2011-10-17,
NIFTY,2011-10-17,
NIFTY,2011-10-17,
NIFTY,2011-10-20,
NIFTY,2011-10-20,
NIFTY,2011-10-20,
NIFTY,2011-10-26,
NIFTY,2011-10-26,
NIFTY,2011-10-26,
NIFTY,2011-10-31,
NIFTY,2011-10-31,
NIFTY,2011-10-31,
NIFTY,2012-01-05,
NIFTY,2012-01-05,
NIFTY,2012-01-05,
NIFTY,2012-01-31,
NIFTY,2012-01-31,
NIFTY,2012-01-31,
NIFTY,2012-01-31,
NIFTY,2012-01-31,
NIFTY,2012-01-31,
NIFTY,2012-02-09,
NIFTY,2012-02-09,
NIFTY,2012-02-09,
NIFTY,2012-02-09,
NIFTY,2012-02-09,
NIFTY,2012-02-09,
NIFTY,2012-02-14,
NIFTY,2012-02-14,
NIFTY,2012-02-14,
NIFTY,2012-03-01,
NIFTY,2012-03-01,
NIFTY,2012-03-01,
NIFTY,2012-03-14,
NIFTY,2012-03-14,
NIFTY,2012-03-14,
NIFTY,2012-03-21,
NIFTY,2012-03-21,
NIFTY,2012-03-21,
NIFTY,2012-03-26,
NIFTY,2012-03-26,
NIFTY,2012-03-26,
NIFTY,2012-04-18,
NIFTY,2012-04-18,
NIFTY,2012-04-18,
NIFTY,2012-05-03,
NIFTY,2012-05-03,
NIFTY,2012-05-03,
NIFTY,2012-05-10,
NIFTY,2012-05-10,
NIFTY,2012-05-10,
NIFTY,2012-05-14,
NIFTY,2012-05-14,
NIFTY,2012-05-14,
NIFTY,2012-05-31,
NIFTY,2012-05-31,
NIFTY,2012-05-31,
NIFTY,2012-06-04,
NIFTY,2012-06-04,
NIFTY,2012-06-04,
NIFTY,2012-06-13,
NIFTY,2012-06-13,
NIFTY,2012-06-13,
NIFTY,2012-06-19,
NIFTY,2012-06-19,
NIFTY,2012-06-19,
NIFTY,2012-07-18,
NIFTY,2012-07-18,
NIFTY,2012-07-18,
NIFTY,2012-07-24,
NIFTY,2012-07-24,
NIFTY,2012-07-24,
NIFTY,2012-08-29,
NIFTY,2012-08-29,
NIFTY,2012-08-29,
NIFTY,2012-09-12,
NIFTY,2012-09-12,
NIFTY,2012-09-12,
NIFTY,2012-09-19,
NIFTY,2012-09-19,
NIFTY,2012-09-19,
NIFTY,2012-09-19,Rise
NIFTY,2012-09-25,
NIFTY,2012-09-25,
NIFTY,2012-09-25,
NIFTY,2012-09-26,
NIFTY,2012-09-26,
NIFTY,2012-09-26,
NIFTY,2012-10-24,
NIFTY,2012-10-24,
NIFTY,2012-10-24,
NIFTY,2012-10-31,
NIFTY,2012-10-31,
NIFTY,2012-10-31,
NIFTY,2012-11-08,
NIFTY,2012-11-08,
NIFTY,2012-11-08,
NIFTY,2012-11-27,
NIFTY,2012-11-27,
NIFTY,2012-12-12,
NIFTY,2012-12-12,
NIFTY,2012-12-12,
NIFTY,2012-12-17,
NIFTY,2012-12-17,
NIFTY,2012-12-17,
NIFTY,2013-01-16,
NIFTY,2013-01-16,
NIFTY,2013-01-16,
NIFTY,2013-02-12,
NIFTY,2013-02-12,
NIFTY,2013-02-12,
NIFTY,2013-02-20,
NIFTY,2013-02-20,
NIFTY,2013-02-20,
NIFTY,2013-03-11,
NIFTY,2013-03-11,
NIFTY,2013-03-11,
NIFTY,2013-04-15,
NIFTY,2013-04-15,
NIFTY,2013-04-15,
NIFTY,2013-05-09,
NIFTY,2013-05-09,
NIFTY,2013-05-09,
NIFTY,2013-06-05,
NIFTY,2013-06-05,
NIFTY,2013-06-05,
NIFTY,2013-09-09,
NIFTY,2013-09-09,
NIFTY,2013-09-09,
NIFTY,2013-10-01,
NIFTY,2013-10-01,
NIFTY,2013-10-01,
NIFTY,2013-11-19,
NIFTY,2013-11-19,
NIFTY,2013-11-19,
NIFTY,2013-12-19,
NIFTY,2013-12-19,
NIFTY,2013-12-19,
NIFTY,2014-05-12,
NIFTY,2014-05-12,
NIFTY,2014-05-12,
NIFTY,2014-05-21,
NIFTY,2014-05-21,
NIFTY,2014-05-21,
NIFTY,2014-05-21,
NIFTY,2014-05-21,
NIFTY,2014-05-21,
NIFTY,2014-06-24,
NIFTY,2014-06-24,
NIFTY,2014-06-24,
NIFTY,2014-09-23,
NIFTY,2014-09-23,
NIFTY,2014-09-23,
NIFTY,2014-10-28,
NIFTY,2014-10-28,
NIFTY,2014-10-28,
NIFTY,2015-07-01,
NIFTY,2015-07-01,
NIFTY,2015-07-01,
NIFTY,2015-10-14,
NIFTY,2015-10-14,
NIFTY,2015-10-14,
NIFTY,2015-11-10,
NIFTY,2015-11-10,
NIFTY,2015-11-10,
NIFTY,2016-02-18,
NIFTY,2016-02-18,
NIFTY,2016-02-18,
NIFTY,2016-06-22,
NIFTY,2016-06-22,
NIFTY,2016-06-22,
NIFTY,2016-07-07,
NIFTY,2016-07-07,
NIFTY,2016-07-07,
NIFTY,2016-07-28,
NIFTY,2016-07-28,
NIFTY,2016-07-28,
NIFTY,2016-11-10,
NIFTY,2016-11-10,
NIFTY,2016-11-10,
NIFTY,2016-12-28,
NIFTY,2016-12-28,
NIFTY,2016-12-28,
NIFTY,2017-04-05,
NIFTY,2017-04-05,
NIFTY,2017-04-05,
NIFTY,2017-06-14,
NIFTY,2017-06-14,
NIFTY,2017-06-14,
NIFTY,2017-06-15,
NIFTY,2017-06-15,
NIFTY,2017-06-15,
NIFTY,2018-02-15,
NIFTY,2018-02-15,
NIFTY,2018-02-15,
NIFTY,2018-04-23,
NIFTY,2018-04-23,
NIFTY,2018-04-23,
NIFTY,2018-05-09,
NIFTY,2018-05-09,
NIFTY,2018-05-09,
NIFTY,2018-07-17,
NIFTY,2018-07-17,
NIFTY,2018-07-17,
NIFTY,2019-10-31,
NIFTY,2019-10-31,
NIFTY,2019-10-31,
